1	1	Marcelo_Tejedor, paleontólogo de a Universidade_Nacional_da_Patagônia, esboça um sorriso meio sem graça quando lhe perguntam se não é uma situação frustrante.	Marcelo_Tejedor	PER	paleontólogo de	Universidade_Nacional_da_Patagônia	ORG
2	1	Primeiro, pede que a CTNBio (Comissão_Técnica_Nacional_de_Biossegurança) seja a única instância a regulamentar tanto a pesquisa como a comercialização de transgênicos, em o âmbito de o mérito científico.	CTNBio	ORG	(	Comissão_Técnica_Nacional_de_Biossegurança	ORG
3	1	O projeto, desenvolvido por a USP de Ribeirão, consegue produzir o biodiesel a_partir_de a mistura de óleo vegetal (incluindo o de soja) e etanol, álcool derivado de a cana-de-açúcar.	USP	ORG	de	Ribeirão	PLC
4	1	Stuart_Lipton, de o Instituto_Burnham, Califórnia, não duvida:	Stuart_Lipton	PER	de	Instituto_Burnham	ORG
4	2	Stuart_Lipton, de o Instituto_Burnham, Califórnia, não duvida:	Instituto_Burnham	ORG	,	Califórnia	PLC
5	1	A escavação de este ano, realizada em julho e agosto, foi organizada por o Centro_Nacional_de_Arqueologia_Náutica_e_Subaquática de o Instituto_Português_de_Arqueologia.	Centro_Nacional_de_Arqueologia_Náutica_e_Subaquática	ORG	de	Instituto_Português_de_Arqueologia	ORG
6	1	Esse vírus é antigo e é uma zoonose', diz o virologista Paolo_Zanotto, de a USP, que está preparando um diagnóstico molecular de a pneumonia.	Paolo_Zanotto	PER	de	USP	ORG
7	1	Para Ida_Sano_Martins, que estuda a fisiologia de venenos em o Instituto_Butantan, em São_Paulo, a estratégia poderia vencer algumas limitações de os soros antiofídicos atuais.	Instituto_Butantan	ORG	em	São_Paulo	PLC
8	1	A reunião começou anteontem em o campus de a UnB (Universidade_de_Brasília).	UnB	ORG	(	Universidade_de_Brasília	ORG
9	1	Segundo Cassius_Vinicius_Stevani, químico de a USP que coordena os estudos, é possível que o material recolhido abranja por o menos_dez espécies novas.	Cassius_Vinicius_Stevani	PER	químico de	USP	ORG
10	1	O trabalho foi coordenado por o geocientista Charles_Vörösmarty, de a Universidade_de_New_Hampshire, em os Estados_Unidos.	Charles_Vörösmarty	PER	de	Universidade_de_New_Hampshire	ORG
10	2	O trabalho foi coordenado por o geocientista Charles_Vörösmarty, de a Universidade_de_New_Hampshire, em os Estados_Unidos.	Universidade_de_New_Hampshire	ORG	em	Estados_Unidos	PLC
11	1	A sorte de os cientistas liderados por Jillian_Banfield, de a Universidade_da_Califórnia em Berkeley, foi que a amostra de efluentes ácidos analisada tinha um pequeno número de organismos.	Jillian_Banfield	PER	de	Universidade_da_Califórnia	ORG
11	2	A sorte de os cientistas liderados por Jillian_Banfield, de a Universidade_da_Califórnia em Berkeley, foi que a amostra de efluentes ácidos analisada tinha um pequeno número de organismos.	Universidade_da_Califórnia	ORG	em	Berkeley	PLC
12	1	Pesquisadores de a Universidade_de_Michigan em Ann_Arbor, em os Estados_Unidos, sugerem que os olhos de asiáticos tendem a ver uma imagem em o seu conjunto, prestando tanto atenção a o que está em primeiro plano quanto em o fundo, enquanto os americanos demoram mais o olhar em o objeto central de um quadro.	Universidade_de_Michigan	ORG	em	Ann_Arbor	PLC
12	2	Pesquisadores de a Universidade_de_Michigan em Ann_Arbor, em os Estados_Unidos, sugerem que os olhos de asiáticos tendem a ver uma imagem em o seu conjunto, prestando tanto atenção a o que está em primeiro plano quanto em o fundo, enquanto os americanos demoram mais o olhar em o objeto central de um quadro.	Universidade_de_Michigan	ORG	em	Estados_Unidos	PLC
13	1	Experimentos coordenados por Carl_Cotman, de a Universidade_da_Califórnia em Irvine, mostraram resultados animadores em cães em a fase de envelhecimento (a_partir_de os 9 anos de vida), em na_qual os animais podem desenvolver uma doença que lembra Alzheimer.	Carl_Cotman	PER	de	Universidade_da_Califórnia	ORG
13	2	Experimentos coordenados por Carl_Cotman, de a Universidade_da_Califórnia em Irvine, mostraram resultados animadores em cães em a fase de envelhecimento (a_partir_de os 9 anos de vida), em na_qual os animais podem desenvolver uma doença que lembra Alzheimer.	Universidade_da_Califórnia	ORG	em	Irvine	PLC
14	1	O biólogo William_Eberhard, de a Universidade_da_Costa_Rica, descobriu que as larvas de esse inseto, a o parasitar a aranha Plesiometa argyra, provocam mudanças em o comportamento de a hospedeira.	William_Eberhard	PER	de	Universidade_da_Costa_Rica	ORG
15	1	A descoberta, segundo pesquisadores de a Universidade_de_Wisconsin-Madison (EUA), poderá levar a a compreensão de como as epidemias de a doença surgem e qual a melhor forma de combatê-las.	Universidade_de_Wisconsin-Madison	ORG	(	EUA	PLC
16	1	Clayton_Campanhola, diretor-presidente de a Embrapa, afirma que o método ajudará em a multiplicação de animais de elevado valor genético ou em a reprodução de os ameaçados de extinção.	Clayton_Campanhola	PER	diretor-presidente de	Embrapa	ORG
17	1	O navio trazia compensados de madeira exportados por a Selvaplac, subsidiária brasileira de um grupo de a Malásia.	Selvaplac	ORG	subsidiária brasileira de um grupo de	Malásia	PLC
18	1	sustentou Orlando_Gonçalves, revelando que a Fanorte vai agora 'exigir uma explicação de a Câmara'.	Fanorte	ORG	exigir uma explicação de	Câmara	ORG
19	1	A nossa Escola_de_Pilotagem ajudou a formar dezenas_de pilotos particulares e profissionais, sendo actualmente dirigida por o Cmdt.João_Filhó, um profissional de a aviação que trabalha em a Portugália, e que é um entre as dezenas_de profissionais que iniciaram ou reforçaram a sua actividade de pilotos em o ACTV.	Escola_de_Pilotagem	ORG	dirigida por	Cmdt.João_Filhó	PER
19	2	A nossa Escola_de_Pilotagem ajudou a formar dezenas_de pilotos particulares e profissionais, sendo actualmente dirigida por o Cmdt.João_Filhó, um profissional de a aviação que trabalha em a Portugália, e que é um entre as dezenas_de profissionais que iniciaram ou reforçaram a sua actividade de pilotos em o ACTV.	Cmdt.João_Filhó	PER	trabalha em	Portugália	ORG
20	1	Para analistas como Kris_Voorspools, de a Fortis, em Bruxelas, o 'preço de o petróleo pode continuar a subir', por se estar perante o 'simples fundamento de a oferta e de a procura'.	Kris_Voorspools	PER	de	Fortis	ORG
20	2	Para analistas como Kris_Voorspools, de a Fortis, em Bruxelas, o 'preço de o petróleo pode continuar a subir', por se estar perante o 'simples fundamento de a oferta e de a procura'.	Fortis	ORG	em	Bruxelas	PLC
21	1	Mas há quem defenda, embora em minoria, que os preços elevados podem levar a uma recessão global, uma opinião expressa por Nauman_Barakat, vice-presidente de a Macquarie_Futures de os EUA.	Nauman_Barakat	PER	vice-presidente de	Macquarie_Futures	ORG
21	2	Mas há quem defenda, embora em minoria, que os preços elevados podem levar a uma recessão global, uma opinião expressa por Nauman_Barakat, vice-presidente de a Macquarie_Futures de os EUA.	Macquarie_Futures	ORG	de	EUA	PLC
22	1	Gaza subvive de as esmolas iranianas, sauditas e de os Emiratos, e a Cisjordânia subvive de doações de a Europa, de a América, de Estados_árabes e de as Nações_Unidas.	Gaza	ORG	subvive de	Emiratos	ORG
22	2	Gaza subvive de as esmolas iranianas, sauditas e de os Emiratos, e a Cisjordânia subvive de doações de a Europa, de a América, de Estados_árabes e de as Nações_Unidas.	Cisjordânia	ORG	subvive de	Europa	ORG
22	3	Gaza subvive de as esmolas iranianas, sauditas e de os Emiratos, e a Cisjordânia subvive de doações de a Europa, de a América, de Estados_árabes e de as Nações_Unidas.	Cisjordânia	ORG	subvive de	América	ORG
22	4	Gaza subvive de as esmolas iranianas, sauditas e de os Emiratos, e a Cisjordânia subvive de doações de a Europa, de a América, de Estados_árabes e de as Nações_Unidas.	Cisjordânia	ORG	subvive de	Nações_Unidas	ORG
22	5	Gaza subvive de as esmolas iranianas, sauditas e de os Emiratos, e a Cisjordânia subvive de doações de a Europa, de a América, de Estados_árabes e de as Nações_Unidas.	Cisjordânia	ORG	subvive de	Estados_árabes	ORG
23	1	O Hamas a mandar em Gaza, e a OLP a fingir que manda em a Cisjordânia.	Hamas	ORG	mandar em	Gaza	ORG
23	2	O Hamas a mandar em Gaza, e a OLP a fingir que manda em a Cisjordânia.	OLP	ORG	manda em	Cisjordânia	ORG
24	1	Sarkozy, e Blair, e os europeus, sendo a Europa o maior dador de dinheiro para os palestinianos e já vamos ver porquê, não podem desconhecer que nem Mahmoud_Abbas é um chefe com apoio popular em a Cisjordânia nem a OLP, dominada por a Fatah, tem apoio popular em Gaza.	OLP	ORG	dominada por	Fatah	ORG
24	2	Sarkozy, e Blair, e os europeus, sendo a Europa o maior dador de dinheiro para os palestinianos e já vamos ver porquê, não podem desconhecer que nem Mahmoud_Abbas é um chefe com apoio popular em a Cisjordânia nem a OLP, dominada por a Fatah, tem apoio popular em Gaza.	OLP	ORG	tem apoio em	Gaza	PLC
25	1	Abbas pode fingir mandar em Ramallah e em a clientela privilegiada de uma organização que não soube constituir-se como fonte legítima de o poder palestiniano, não pode fingir que é considerado em Jenin e Hebron, em Nablus e Tulkarem, em Jericó e Jerusalém_Oriental.	Abbas	PER	mandar em	Ramallah	ORG
26	1	Em o próximo sábado, a as 16h, Ronaldo_Lemos, diretor de o Creative_Commons em o Brasil, irá participar de um debate com os membros de o Superflex, em a Vermelho, e logo após será realizada uma gincana intitulada 'Free_Beer_Pub_Quiz', em a_qual participantes receberão prêmios a o responderem questões sobre propriedade intelectual e direitos_autorais.	Creative_Commons	ORG	em	Brasil	PLC
26	2	Em o próximo sábado, a as 16h, Ronaldo_Lemos, diretor de o Creative_Commons em o Brasil, irá participar de um debate com os membros de o Superflex, em a Vermelho, e logo após será realizada uma gincana intitulada 'Free_Beer_Pub_Quiz', em a_qual participantes receberão prêmios a o responderem questões sobre propriedade intelectual e direitos_autorais.	Ronaldo_Lemos	PER	diretor de	Creative_Commons	ORG
27	1	A crise já tinha sido solucionada, após uma reunião em a casa de o procurador geral Aristides_Junqueira, que juntou as principais lideranças de o Congresso, membros de o Supremo_Tribunal_Federal e FHC.	Aristides_Junqueira	PER	juntou as lideranças de	Congresso	ORG
27	2	A crise já tinha sido solucionada, após uma reunião em a casa de o procurador geral Aristides_Junqueira, que juntou as principais lideranças de o Congresso, membros de o Supremo_Tribunal_Federal e FHC.	Aristides_Junqueira	PER	juntou as lideranças de	Supremo_Tribunal_Federal	ORG
28	1	A abertura de o evento contou com a presença de Fernando_Gomes, presidente de a Câmara_Municipal_do_Porto, e de o vereador Wan_Chun, em representação de Sales_Marques, presidente de o Leal_Senado, a_qual foi enriquecida com um pequeno concerto em que os instrumentistas Wong_On_Yuen e António_Ferro, tocando ehru e viola-baixo, respectivamente, interpretaram várias peças editadas em o disco compacto Sinais_de_Yuanju.	Fernando_Gomes	PER	presidente de	Câmara_Municipal_do_Porto	ORG
28	2	A abertura de o evento contou com a presença de Fernando_Gomes, presidente de a Câmara_Municipal_do_Porto, e de o vereador Wan_Chun, em representação de Sales_Marques, presidente de o Leal_Senado, a_qual foi enriquecida com um pequeno concerto em que os instrumentistas Wong_On_Yuen e António_Ferro, tocando ehru e viola-baixo, respectivamente, interpretaram várias peças editadas em o disco compacto Sinais_de_Yuanju.	Câmara_Municipal_do_Porto	ORG	vereador	Wan_Chun	PER
29	1	o Governo russo acredita em o Pai_Natal e quer que as criancinhas também acreditem.	Governo	ORG	acredita em	Pai_Natal	PER
